hip-angle,knee-angle,ankle-angle,phase
1.017411046,5.58605629,73.57941168,1
1.017411046,5.58605629,73.57941168,1
1.040103379,5.572287303,73.54467059,1
1.040103379,5.572287303,73.54467059,1
1.040103379,5.572287303,73.54467059,1
1.027815219,5.561719376,73.54467059,1
0.2655751018,5.114269059,73.54467059,1
0.2551587238,5.107330844,73.89595852,1
0.2551587238,5.107330844,72.96858984,1
0.2483272252,5.135240433,72.63905749,1
0.5174773864,4.691200304,72.63905749,1
0.5088387837,4.694564509,71.71077544,1
0.5054224233,5.16859613,72.1813907,1
0.9443504036,5.194428908,72.26232847,1
1.717137547,5.166442043,72.68548015,1
2.161266369,6.630380239,74.9895404,1
0.3165480473,9.845822368,77.85469245,1
1.342624027,14.47664633,82.09651128,1
12.06739878,30.81160573,82.02614364,1
17.15373107,41.18592517,76.78682005,0
19.78847817,40.49793951,68.71283574,0
24.16318317,29.14772922,62.38332183,0
27.37522641,12.28549253,47.07059714,0
29.52247701,6.002832176,50.23747607,0
21.302347,3.842605204,61.01956564,1
21.165203,4.984434845,62.0953532,1
14.52622458,6.912280099,68.39355231,1
8.34021247,4.57897915,69.9992969,1
9.621430219,9.234302465,74.35775354,1
7.26854952,14.95531909,78.12483602,1
2.54480438,8.997143421,73.74398003,1
3.455409528,9.455659979,79.57996475,1
7.35032439,12.79706236,85.15599962,1
5.859017349,21.45279615,89.42974066,1
16.58960078,9.740841967,86.67529079,1
4.307021272,34.61916142,90.97812559,1
1.7861001,46.34530421,82.22954774,1
8.810068477,54.02892066,69.2082185,0
17.02300301,49.90580298,62.66333514,0
17.55482202,45.30737476,73.28595915,0
26.57093551,42.66857848,75.43812193,0
28.5201865,21.65502501,60.93800743,0
26.65117318,9.695356141,61.99822709,0
26.24879434,16.37867367,71.57715677,1
23.03555138,12.09223017,70.05338539,1
11.53340544,7.258875353,73.73778088,1
7.685957921,9.514345082,79.40350155,1
5.620118047,15.02524375,86.83460934,1
0.2664900761,11.05555226,88.53769558,1
2.800092743,14.96476204,91.41682305,1
0.4012204053,16.05716644,93.8612146,1
7.280412109,15.4409331,95.53277895,1
5.22968274,20.97635056,93.01097455,1
2.439888867,35.53679836,85.03887286,1
10.71409508,46.60841425,47.0905415,1
8.942598229,43.76305649,40.57033168,0
18.89649326,50.11189399,66.96724341,0
20.09717528,43.95202335,79.2611029,0
18.6986957,29.27961802,77.43889409,0
14.38826109,10.31525064,68.77660677,0
10.74500406,2.842789997,61.76325534,0
13.17292736,2.431714328,62.04903097,0
5.453413385,2.353969658,68.16313352,1
5.327767527,0.5965583926,70.72941615,1
2.615951619,3.93999263,78.68487393,1
0.3077937058,0.5068743926,74.86337681,1
1.20636615,3.455084888,65.5022576,1
1.817765684,2.211295458,57.41335868,1
